scene_seed,success,steps,split
300000,1,37,train
300001,1,37,train
300002,1,37,train
300003,1,37,train
300004,1,37,validation
300005,1,37,train
300006,1,37,train
300007,1,37,train
300008,1,37,train
300009,1,37,validation
300010,1,37,train
300011,1,37,train
300012,1,37,train
300013,1,37,train
300014,1,37,validation
300015,1,38,train
300016,1,37,train
300017,1,38,train
300018,1,36,train
300019,1,37,validation
300020,1,37,train
300021,1,38,train
300022,1,37,train
300023,1,37,train
300024,1,37,validation
300025,1,37,train
300026,1,37,train
300027,1,37,train
300028,1,37,train
300029,1,37,validation
300030,1,37,train
300031,1,37,train
300032,1,37,train
300033,1,37,train
300034,1,37,validation
300035,1,37,train
300036,1,37,train
300037,1,37,train
300038,1,37,train
300039,1,37,validation
300040,1,37,train
300041,1,37,train
300042,1,37,train
300043,1,37,train
300044,1,37,validation
300045,1,37,train
300046,1,37,train
300047,1,37,train
300048,1,37,train
300049,1,36,validation
300050,1,37,train
300051,1,37,train
300052,1,37,train
300053,1,37,train
300054,1,37,validation
300055,1,38,train
300056,1,37,train
300057,1,37,train
300058,1,38,train
300059,1,37,validation
300060,1,37,train
300061,1,37,train
300062,1,37,train
300063,1,37,train
300064,1,37,validation
300065,1,37,train
300066,1,37,train
300067,1,37,train
300068,1,37,train
300069,1,37,validation
300070,1,37,train
300071,1,37,train
300072,1,37,train
300073,1,38,train
300074,1,37,validation
300075,1,37,train
300076,1,37,train
300077,1,36,train
300078,1,38,train
300079,1,38,validation
300080,1,37,train
300081,1,37,train
300082,1,37,train
300083,1,38,train
300084,1,37,validation
300085,1,37,train
300086,1,37,train
300087,1,37,train
300088,1,37,train
300089,1,37,validation
300090,1,37,train
300091,1,37,train
300092,1,37,train
300093,1,37,train
300094,1,37,validation
300095,1,37,train
300096,1,37,train
300097,1,37,train
300098,1,37,train
300099,1,37,validation
300100,1,38,train
300101,1,37,train
300102,1,37,train
300103,1,37,train
300104,1,37,validation
300105,1,37,train
300106,1,37,train
300107,1,37,train
300108,1,37,train
300109,1,37,validation
300110,1,37,train
300111,1,37,train
300112,1,37,train
300113,1,37,train
300114,1,37,validation
300115,1,37,train
300116,1,37,train
300117,1,37,train
300118,1,37,train
300119,1,37,validation
300120,1,37,train
300121,1,37,train
300122,1,37,train
300123,1,37,train
300124,1,37,validation
300125,1,37,train
300126,1,37,train
300127,1,37,train
300128,1,37,train
300129,1,37,validation
300130,1,37,train
300131,1,37,train
300132,1,37,train
300133,1,37,train
300134,1,37,validation
300135,1,37,train
300136,1,38,train
300137,1,37,train
300138,1,36,train
300139,1,37,validation
300140,1,37,train
300141,1,37,train
300142,1,37,train
300143,1,37,train
300144,1,37,validation
300145,1,37,train
300146,1,37,train
300147,1,37,train
300148,1,37,train
300149,1,37,validation
300150,1,37,train
300151,1,37,train
300152,1,37,train
300153,1,37,train
300154,1,37,validation
300155,1,37,train
300156,1,37,train
300157,1,37,train
300158,1,37,train
300159,1,38,validation
300160,1,37,train
300161,1,37,train
300162,1,37,train
300163,1,37,train
300164,1,37,validation
300165,1,37,train
300166,1,37,train
300167,1,37,train
300168,1,37,train
300169,1,37,validation
300170,1,38,train
300171,1,37,train
300172,1,37,train
300173,1,38,train
300174,1,37,validation
300175,1,37,train
300176,1,37,train
300177,1,37,train
300178,1,37,train
300179,1,37,validation
300180,1,37,train
300181,1,37,train
300182,1,37,train
300183,1,37,train
300184,1,37,validation
300185,1,37,train
300186,1,37,train
300187,1,37,train
300188,1,37,train
300189,1,37,validation
300190,1,37,train
300191,1,37,train
300192,1,37,train
300193,1,37,train
300194,1,37,validation
300195,1,37,train
300196,1,37,train
300197,1,37,train
300198,1,37,train
300199,1,37,validation
300200,1,37,train
300201,1,37,train
300202,1,37,train
300203,1,37,train
300204,1,37,validation
300205,1,37,train
300206,1,37,train
