training_seed,method,steps,elapsed_seconds,tolerance_m,training_success_rate,mean_alignment_error_m,log_std
101,curriculum,512,9.688901889000002,0.06,0.283203125,0.08521591205812587,-0.5
101,curriculum,1024,16.942028617,0.06,0.318359375,0.08570589176768062,-0.5520833134651184
101,curriculum,1536,23.191145534,0.06,0.353515625,0.0791851333606289,-0.6041666865348816
101,curriculum,2048,29.208714211,0.06,0.33203125,0.07915344376596488,-0.65625
101,curriculum,2560,35.404997159000004,0.06,0.36328125,0.07531780064661367,-0.7083333134651184
101,curriculum,3072,41.666825802000005,0.06,0.421875,0.07338861672794122,-0.7604166865348816
101,curriculum,3584,47.877687093000006,0.06,0.42578125,0.06941859042533371,-0.8125
101,curriculum,4096,54.153201098000004,0.06,0.501953125,0.06337896250938942,-0.8645833134651184
101,curriculum,4608,60.202346659999996,0.06,0.5546875,0.059779039445106194,-0.9166666865348816
101,curriculum,5120,66.170205536,0.06,0.658203125,0.052597156084893314,-0.96875
101,curriculum,5632,72.180640476,0.04,0.416015625,0.0476769970295962,-1.0208333730697632
101,curriculum,6144,78.144728964,0.04,0.494140625,0.04295480677310792,-1.0729166269302368
101,curriculum,6656,84.076946626,0.04,0.5546875,0.041327114975108714,-1.125
101,curriculum,7168,90.11269169799999,0.04,0.63671875,0.0357446892505999,-1.1770833730697632
101,curriculum,7680,96.277519535,0.025,0.404296875,0.03112799810164362,-1.2291666269302368
101,curriculum,8192,102.475490126,0.025,0.41015625,0.030481050293183026,-1.28125
101,curriculum,8704,108.69750187,0.025,0.46875,0.02803001434377682,-1.3333333730697632
101,curriculum,9216,115.131591477,0.025,0.537109375,0.026037904387788344,-1.3854166269302368
101,curriculum,9728,121.580937455,0.025,0.564453125,0.023457622251210942,-1.4375
101,curriculum,10240,128.266103064,0.025,0.56640625,0.023973917606919193,-1.4895833730697632
101,curriculum,10752,134.713101727,0.015,0.2578125,0.023478562081857297,-1.5416666269302368
101,curriculum,11264,141.18622911399999,0.015,0.3203125,0.021191534852372705,-1.59375
101,curriculum,11776,147.72679502,0.015,0.33203125,0.020641862673054494,-1.6458333730697632
101,curriculum,12288,154.173121313,0.015,0.388671875,0.019874651190405747,-1.6979166269302368
101,curriculum,12800,160.606029461,0.015,0.42578125,0.017899237448927716,-1.75
101,curriculum,13312,166.90882957,0.015,0.453125,0.017660830390186344,-1.8020833730697632
101,curriculum,13824,173.227652223,0.015,0.42578125,0.017538043349952195,-1.8541666269302368
101,curriculum,14336,179.562375251,0.015,0.45703125,0.01682840663911305,-1.90625
101,curriculum,14848,185.856800426,0.015,0.509765625,0.015866705889414436,-1.9583333730697632
101,curriculum,15360,192.166392436,0.015,0.55078125,0.014687591020217175,-2.0104167461395264
101,curriculum,15872,198.468202964,0.015,0.56640625,0.014831068549398274,-2.0625
101,curriculum,16384,204.675826877,0.01,0.33203125,0.013866850651012865,-2.1145832538604736
101,curriculum,16896,210.86827402699998,0.01,0.388671875,0.01304549820097136,-2.1666667461395264
101,curriculum,17408,217.177926471,0.01,0.38671875,0.01284153788855633,-2.21875
101,curriculum,17920,223.497645817,0.01,0.41796875,0.012426389970588227,-2.2708332538604736
101,curriculum,18432,229.807722392,0.01,0.451171875,0.011801526172840929,-2.3229167461395264
101,curriculum,18944,236.133480426,0.01,0.474609375,0.011397579735517173,-2.375
101,curriculum,19456,242.421010257,0.01,0.490234375,0.010953300975547035,-2.4270832538604736
101,curriculum,19968,248.74068368300001,0.01,0.544921875,0.009771319222819718,-2.4791667461395264
101,curriculum,20480,255.085315738,0.01,0.5625,0.009814464315970613,-2.53125
101,curriculum,20992,261.38150591500005,0.006,0.29296875,0.009411924759488197,-2.5833332538604736
101,curriculum,21504,267.907890064,0.006,0.3125,0.009219513042641327,-2.6354167461395264
101,curriculum,22016,274.22726554300004,0.006,0.3203125,0.00862825618799839,-2.6875
101,curriculum,22528,280.446089345,0.006,0.369140625,0.008385156635598762,-2.7395832538604736
101,curriculum,23040,286.894256631,0.006,0.42578125,0.00783025376812366,-2.7916667461395264
101,curriculum,23552,293.27353658100003,0.006,0.384765625,0.008254059403141233,-2.84375
101,curriculum,24064,299.564067689,0.006,0.41015625,0.008065206901317401,-2.8958332538604736
101,curriculum,24576,305.85193404800003,0.006,0.447265625,0.007364569551896691,-2.9479167461395264
101,curriculum,25088,312.247699472,0.006,0.466796875,0.007434101301346028,-3.0
101,curriculum,25600,318.455868742,0.006,0.52734375,0.007229783299952883,-3.0
101,curriculum,26112,324.841673661,0.006,0.44921875,0.007793582249955749,-3.0
101,curriculum,26624,331.190648361,0.006,0.505859375,0.007664190500436891,-3.0
101,curriculum,27136,337.57590661100005,0.006,0.494140625,0.007193831646606962,-3.0
101,curriculum,27648,343.954384177,0.006,0.5,0.007145134555459708,-3.0
101,curriculum,28160,352.040132647,0.006,0.515625,0.006915755504505258,-3.0
101,curriculum,28672,358.46639512300004,0.006,0.48046875,0.007595625778580662,-3.0
101,curriculum,29184,364.77132418300005,0.006,0.525390625,0.0072148507304659664,-3.0
101,curriculum,29696,371.217765342,0.006,0.48828125,0.007141677292197128,-3.0
101,curriculum,30208,377.744886165,0.006,0.529296875,0.007318931564265831,-3.0
101,curriculum,30720,384.31829903700003,0.006,0.513671875,0.007054339306335996,-3.0
101,curriculum,31232,390.71341941900005,0.006,0.482421875,0.007267712689324322,-3.0
101,curriculum,31744,398.09408900200003,0.006,0.517578125,0.007341103469661638,-3.0
101,curriculum,32256,404.346438377,0.006,0.50390625,0.007234574094102782,-3.0
101,curriculum,32768,410.81373786,0.006,0.517578125,0.007092496462640919,-3.0
101,hard,512,9.635916234,0.006,0.001953125,0.08521591205812587,-0.5
101,hard,1024,17.194156974000002,0.006,0.00390625,0.08603585666788938,-0.5520833134651184
101,hard,1536,23.499763140000002,0.006,0.005859375,0.07992601506685025,-0.6041666865348816
101,hard,2048,29.676646487000003,0.006,0.001953125,0.08048969317208027,-0.65625
101,hard,2560,35.776604581,0.006,0.001953125,0.07873209268877887,-0.7083333134651184
101,hard,3072,41.863140384999994,0.006,0.0078125,0.07806004173896847,-0.7604166865348816
101,hard,3584,47.917603795999995,0.006,0.0,0.07732244761644178,-0.8125
101,hard,4096,54.04054158299999,0.006,0.005859375,0.07324726290790926,-0.8645833134651184
101,hard,4608,60.090096880999994,0.006,0.001953125,0.0730085756718375,-0.9166666865348816
101,hard,5120,66.142428238,0.006,0.0,0.0703679040995433,-0.96875
101,hard,5632,72.242640701,0.006,0.005859375,0.07004656392326625,-1.0208333730697632
101,hard,6144,78.292454953,0.006,0.001953125,0.06817323598877555,-1.0729166269302368
101,hard,6656,84.39383604,0.006,0.005859375,0.07005887806192537,-1.125
101,hard,7168,90.462080453,0.006,0.001953125,0.06547711913726074,-1.1770833730697632
